OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,0,אוהד,1046,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,4.432586669078970,202405,9036.649836709813826,4432586.669078969396651
-1,24,אורים,403,מועצה אזורית,דרום,אשכול,5538,4,5,49,2,17,37,3,58,43,1,3,0,21,33,1.131425272688461,21.212183057367874,202405,32909.645167024697002,21212183.057367872446775
-1,41,בארי,399,מועצה אזורית,דרום,אשכול,5538,0,4,46,2,5,30,4,50,73,5,4,0,46,67,3.546126471479152,11.561911378445048,202405,22171.350367952483793,11561911.378445047885180
-1,1,בני נצרים,1363,מועצה אזורית,דרום,אשכול,5538,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0.658986045,1.517482816817450,202405,6233.328900976304794,1517482.816817450337112
-1,3,גבולות,352,מועצה אזורית,דרום,אשכול,5538,0,0,3,0,0,2,0,3,4,0,0,0,2,4,0.705201111,4.254105608819442,202405,9335.260752515278000,4254105.608819441869855
-1,1,דקל,1241,מועצה אזורית,דרום,אשכול,5538,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0.337690411,2.961292255176804,202405,6950.757438805723723,2961292.255176804028451
-1,0,חולית,1239,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,4.117920282524723,202405,9396.874925108557363,4117920.282524722628295
-1,2,יבול,1232,מועצה אזורית,דרום,אשכול,5538,0,0,3,1,0,3,0,3,2,0,2,0,0,2,0.642336684,3.113631915745268,202405,7050.440134167491124,3113631.915745268110186
-1,20,ישע,916,מועצה אזורית,דרום,אשכול,5538,1,8,26,0,6,26,3,35,38,0,4,0,25,34,4.340507701016524,4.607755907290777,202405,10247.642917308254255,4607755.907290777191520
-1,2,יתד,1227,מועצה אזורית,דרום,אשכול,5538,0,1,2,0,0,2,0,3,3,0,0,1,1,3,0.573511479,3.487288527468292,202405,7483.261917158883989,3487288.527468292042613
-1,4,כיסופים,840,מועצה אזורית,דרום,אשכול,5538,0,2,3,0,0,5,0,5,6,0,3,0,2,6,0.263511707,15.179591256932413,202405,32497.147906049845915,15179591.256932413205504
-1,5,כרם שלום,1085,מועצה אזורית,דרום,אשכול,5538,0,0,5,2,0,4,1,5,7,0,4,0,0,6,0.755137743,6.621308556562052,202405,10741.075012578017777,6621308.556562052108347
-1,3,מבטחים,829,מועצה אזורית,דרום,אשכול,5538,0,0,3,0,0,2,0,3,5,0,0,0,4,4,0.681570852,4.401596679008322,202405,9591.231032802475966,4401596.679008321836591
-1,9,מגן,695,מועצה אזורית,דרום,אשכול,5538,0,1,12,0,2,10,0,13,15,0,1,1,9,15,1.261755223215472,7.132920739621982,202405,16180.769127616940750,7132920.739621981978416
-1,1,נווה,1366,מועצה אזורית,דרום,אשכול,5538,0,0,4,0,3,1,0,4,2,0,0,0,2,2,1.040823720951315,0.960777488,202405,4239.995098972912274,960777.487936187302694
-1,2,ניר יצחק,402,מועצה אזורית,דרום,אשכול,5538,0,0,2,0,0,0,2,2,2,1,0,0,1,2,0.333618489,5.994871576885658,202405,10721.402196646344237,5994871.576885658316314
-1,1,ניר עוז,69,מועצה אזורית,דרום,אשכול,5538,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0.057598785,17.361477469143331,202405,21276.165843470309483,17361477.469143331050873
-1,6,נירים,602,מועצה אזורית,דרום,אשכול,5538,0,2,5,0,1,5,1,7,8,1,0,0,2,4,0.245927025,24.397481279536539,202405,34861.026100570379640,24397481.279536537826061
-1,0,סופה,1238,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,4.404392354406850,202405,10747.583358400821453,4404392.354406850412488
-1,4,עין הבשור,1240,מועצה אזורית,דרום,אשכול,5538,0,1,6,0,1,4,1,7,7,0,1,0,4,6,1.239346698423436,3.227506883334881,202405,8637.253990195877122,3227506.883334881160408
-1,0,עין השלושה,676,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,13.718783694297885,202405,26986.759265654876799,13718783.694297885522246
-1,5,עמיעוז,318,מועצה אזורית,דרום,אשכול,5538,0,2,10,0,3,7,2,12,9,2,0,0,2,5,1.211502596343405,4.127106301786854,202405,8607.880577197041930,4127106.301786853931844
-1,0,פרי גן,1231,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,3.072210047243443,202405,7050.768053907348985,3072210.047243443317711
-1,20,צאלים,413,מועצה אזורית,דרום,אשכול,5538,1,3,20,0,0,22,2,24,31,3,2,1,11,26,3.038126640421946,6.583004057139082,202405,14089.960597677752958,6583004.057139081880450
-1,0,צוחר,1136,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,0.21934534,202405,2543.671564052314807,219345.340367579774465
-1,15,רעים,713,מועצה אזורית,דרום,אשכול,5538,1,1,32,0,7,26,1,34,23,3,1,0,9,15,1.048248495979034,14.309584089591684,202405,20810.765671640219807,14309584.089591683819890
-1,2,שדה ניצן,1058,מועצה אזורית,דרום,אשכול,5538,0,0,2,0,0,2,0,2,3,0,1,0,0,1,0.83591485,2.392588191563087,202405,6989.057069741841588,2392588.191563086584210
-1,0,שדי אברהם,1223,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,3.756900506935228,202405,7884.219885183161750,3756900.506935228127986
-1,87,שטח כללי,5538,מועצה אזורית,דרום,אשכול,5538,5,18,115,0,23,96,7,138,153,3,14,1,69,116,0.164929063,527.499511686584242,202405,386201.280173980514519,527499511.686584234237671
-1,0,שלומית,1364,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,1.075136810261691,202405,4781.603805554010250,1075136.810261690523475
-1,0,תלמי אליהו,1051,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,5.858431134343164,202405,11242.693128466204143,5858431.134343164041638
-1,0,תלמי יוסף,1237,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0,3.224559961065524,202405,7285.555877759756186,3224559.961065523792058
-1,5258,אשקלון,7100,עירייה,דרום,אשקלון,7100,19,150,6671,662,1034,4688,708,6840,9607,313,232,284,5540,7595,100.500742240816791,52.318021566457112,202405,42463.301976515758724,52318021.566457115113735
-1,925,באקה אל גרבייה (באקה אל ררבי,6000,עירייה,חיפה,באקה אל גרבייה (באקה אל ררבי,6000,3,40,1382,81,387,983,44,1425,1713,37,52,52,1028,1383,100.754651562141575,9.180717571431387,202405,17468.962957013915002,9180717.571431387215853
-1,15,אביגדור,819,מועצה אזורית,דרום,באר טוביה,5533,1,0,26,0,5,19,2,27,36,0,2,0,24,28,4.303493629046711,3.485540189662771,202405,9497.654488586747902,3485540.189662771299481
-1,19,אורות,2012,מועצה אזורית,דרום,באר טוביה,5533,0,0,26,0,1,19,2,26,33,2,0,0,20,25,7.372182209457009,2.577255887086848,202405,8679.510015936806667,2577255.887086847797036
